//table for 2ghz

          
/*
  1 = desired gain
  2 = bb1_gain
  3 = bb2_gain
  4 = if_gain
  5 = rf_gain
*/
          
// 1    2   3     4     5
//--   --  --    --    --
   0,   0,   0,   0,   0,
  12,   1,   0,   0,   0,
  19,   2,   0,   0,   0,
  24,   3,   0,   0,   0,
  31,   2,   1,   0,   0,
  36,   3,   1,   0,   0,
  38,   2,   2,   0,   0,
  43,   3,   2,   0,   0,
  48,   3,   3,   0,   0,
  50,   2,   2,   1,   0,
  55,   3,   2,   1,   0,
  60,   3,   3,   0,   1,
  62,   2,   2,   1,   1,
  67,   3,   2,   1,   1,
  72,   3,   3,   0,   3,
  84,   3,   3,   0,   7,
  88,   3,   3,   1,   4,
  97,   3,   3,   1,   7,
  101,   3,   3,   3,   4,
  103,   3,   3,   3,   5,
  105,   3,   3,   3,   6,
  106,   3,   3,   3,   7,
  106,   3,   3,   3,   7,
  106,   3,   3,   3,   7,
  106,   3,   3,   3,   7,
  106,   3,   3,   3,   7,
  106,   3,   3,   3,   7,
